Category,Date,Title,Link
日本人学生宿舎情報/Housing Information for Japanese Students,2022.12.27,"【東大生協1/27,28, 2/17,18】柏キャンパス住まい相談会開催のご案内/The University of Tokyo Co-op Housing Consultation (Kashiwa Campus)",https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/dormitory_nihonjin/14950/
日本人学生宿舎情報/Housing Information for Japanese Students,2022.01.07,R4東京国際交流館・日本人学生の入居者募集について,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/dormitory_nihonjin/7944/
ジョブイベント/Job Fair,2023.08.01,【ASIALink】「24卒理系留学生のための求人説明会」のご案内,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/18074/
ジョブイベント/Job Fair,2023.08.01,【（株）ミツトヨ】夏季１dayインターンシップ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/18071/
ジョブイベント/Job Fair,2023.07.27,[（株）ＵＳＥ]2023年8月開催会社説明会/インターンシップ/求人票,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/18028/
ジョブイベント/Job Fair,2023.07.27,【産総研 生命工学領域】修士型研究員公募および説明会のお知らせ￼,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/18023/
ジョブイベント/Job Fair,2023.07.24,【古河電気工業（株）】求人票・夏季１dayワークショップ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/17984/
求人票/ Job Offer Information,2023.07.27,[（株）ＵＳＥ]2023年8月開催会社説明会/インターンシップ/求人票,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/18028/
求人票/ Job Offer Information,2023.07.24,【古河電気工業（株）】求人票・夏季１dayワークショップ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/17984/
求人票/ Job Offer Information,2023.06.27,【（株）ユー・エス・イー】2023年7月開催会社説明会及び求人票のご案内,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/17686/
求人票/ Job Offer Information,2023.06.05,【（株）アイヴィス】求人票,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/kyujinhyou/17439/
求人票/ Job Offer Information,2023.05.29,【（株）USE】６月開催Web説明会のご案内,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/17319/
民間インターンシップ/Internship at private company,2023.08.01,【（株）ミツトヨ】夏季１dayインターンシップ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/18071/
民間インターンシップ/Internship at private company,2023.07.27,[（株）ＵＳＥ]2023年8月開催会社説明会/インターンシップ/求人票,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/18028/
民間インターンシップ/Internship at private company,2023.06.22,【JR東日本】インターンシップ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/minkan-internship/17649/
民間インターンシップ/Internship at private company,2023.06.22,【日欧産業協力センター】在ＥＵ企業インターンシップ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/minkan-internship/17646/
民間インターンシップ/Internship at private company,2023.06.05,【スズキ㈱】2025年卒学生向け夏季1weekインターンシップのご案内,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/minkan-internship/17424/
官公庁インターンシップ/Internship at government administration office(mainly for Japanese Students),2023.07.07,東京矯正管区「少年院・少年鑑別所オンライン業務説明会（夏季）」,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/17833/
官公庁インターンシップ/Internship at government administration office(mainly for Japanese Students),2023.07.04,2023年度原子力規制庁（夏季）体験プログラムについて,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/intern_application/17758/
官公庁インターンシップ/Internship at government administration office(mainly for Japanese Students),2023.06.19,2023年度環境省インターンシップ（本省）について,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/intern_application/17592/
官公庁インターンシップ/Internship at government administration office(mainly for Japanese Students),2023.05.25,【直接応募】2023年度東京都庁インターンシップ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/intern_application/17255/
官公庁インターンシップ/Internship at government administration office(mainly for Japanese Students),2023.05.22,2023年度国土技術政策総合研究所夏期実習について,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/intern_application/17150/
教職関係/ Teaching Profession,2023.07.26,東京大学教育学部附属中等教育学校での「生成系AI等を活用した評価システムの構築」募集！！,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/18014/
教職関係/ Teaching Profession,2023.07.18,令和５年度 教育職員免許状大学一括申請について,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/17902/
教職関係/ Teaching Profession,2023.07.05,自由の森学園における学校インターンシッププログラム,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/kyoshoku/17818/
教職関係/ Teaching Profession,2023.06.22,＜再掲＞【重要】令和６年度実施の教育実習・介護等体験・教職実践演習,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/17660/
教職関係/ Teaching Profession,2023.06.01,【教育学部】自由の森学園における学校インターンシッププログラム,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/kyoshoku/17359/
一般掲示・イベント情報 （ジョブイベント以外）/General Information・Event Information(except job fair),2023.07.18,東京フィルハーモニー交響楽団 定期演奏会 学生券のご案内 Tokyo Philharmonic Orchestra Students tickets information,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/current-events/17925/
一般掲示・イベント情報 （ジョブイベント以外）/General Information・Event Information(except job fair),2023.07.06,【UGIP(SoftBankプレイベント)】￼教育の在り方をアップデート!ChatGPT活用アイデアソン,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/current-events/17826/
一般掲示・イベント情報 （ジョブイベント以外）/General Information・Event Information(except job fair),2023.06.30,【社連課】福島県北塩原村モデルツアーについて（7/16～18）,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/current-events/17705/
一般掲示・イベント情報 （ジョブイベント以外）/General Information・Event Information(except job fair),2023.06.22,「ChatGPTで変わる生活・学び・クリエイティブ・仕事」セミナーのご案内,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/current-events/17643/
一般掲示・イベント情報 （ジョブイベント以外）/General Information・Event Information(except job fair),2023.06.19,【産学協創部】init.g(): Google による大学生向けセキュリティ教育イベントのお知らせ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/current-events/17598/
予算・決算からのお知らせ,2021.11.08,予算・決算チーム,https://gsfs-portal.k.u-tokyo.ac.jp/yosan/news/yosan-notice/635/
研究交流からのお知らせ,2023.06.21,[f-all] 【通知】競争的研究費等の不正使用防止の徹底について,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/kenkyu-notice/17631/
研究交流からのお知らせ,2023.06.12,[f-all] 研究倫理教育(eAPRIN)の受講について,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/kenkyu-notice/17521/
研究交流からのお知らせ,2023.02.20,[f-all] 【重要】 競争的研究費におけるエフォート管理の徹底について（依頼）,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/kenkyu-notice/15655/
研究助成,2023.07.31,【公募情報】【部局締切：8/21（月）正午】（公財）上原記念生命科学財団　2023年度研究助成について,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e7%a0%94%e7%a9%b6%e5%8a%a9%e6%88%90/18058/
研究助成,2023.07.31,【公募情報】UTEC-UTokyo FSI Research Grant Programの公募について,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e7%a0%94%e7%a9%b6%e5%8a%a9%e6%88%90/18056/
研究助成,2023.07.20,[f-all] 【公募情報】【部局締切：7/24（月）12時】（公財）第一三共生命科学研究振興財団　研究助成について,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e7%a0%94%e7%a9%b6%e5%8a%a9%e6%88%90/17961/
研究助成,2023.07.20,[f-all] 【公募情報】Fw: 日本鉄鋼協会：第3回鉄鋼カーボンニュートラル研究助成募集開始のご案内,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e7%a0%94%e7%a9%b6%e5%8a%a9%e6%88%90/17959/
研究助成,2023.07.14,[f-all] 【通知】Fw: 【研究資金戦略課】令和６年度世界トップレベル研究拠点プログラム（WPI）応募に関する情報提供等について（依頼）,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e7%a0%94%e7%a9%b6%e5%8a%a9%e6%88%90/17893/
日本学術振興会 特別研究員,2023.04.28,[f-stu] 【通知】【特別研究員PD】【JSPS】令和６（2024）年度採用分特別研究員-PD、DCの電子申請システムによる受付開始について,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e6%97%a5%e6%9c%ac%e5%ad%a6%e8%a1%93%e6%8c%af%e8%88%88%e4%bc%9a-%e7%89%b9%e5%88%a5%e7%a0%94%e7%a9%b6%e5%93%a1/16868/
日本学術振興会 特別研究員,2023.04.28,[f-stu] 【重要】【特別研究員ＰＤ】令和６年度日本学術振興会特別研究員【ＰＤ】の募集について,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e6%97%a5%e6%9c%ac%e5%ad%a6%e8%a1%93%e6%8c%af%e8%88%88%e4%bc%9a-%e7%89%b9%e5%88%a5%e7%a0%94%e7%a9%b6%e5%93%a1/16858/
日本学術振興会 特別研究員,2023.03.23,f-all] 【重要】【特別研究員RPD】令和６年度採用分特別研究員―ＲＰＤの募集について,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e6%97%a5%e6%9c%ac%e5%ad%a6%e8%a1%93%e6%8c%af%e8%88%88%e4%bc%9a-%e7%89%b9%e5%88%a5%e7%a0%94%e7%a9%b6%e5%93%a1/16106/
日本学術振興会 特別研究員,2023.03.23,[f-all] 【通知】【特別研究員RPD】Fw【JSPS】令和6年度採用分特別研究員-RPDの申請受付開始及び電子申請システム体験版の更新について,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e6%97%a5%e6%9c%ac%e5%ad%a6%e8%a1%93%e6%8c%af%e8%88%88%e4%bc%9a-%e7%89%b9%e5%88%a5%e7%a0%94%e7%a9%b6%e5%93%a1/16103/
日本学術振興会 特別研究員,2023.03.03,[f-ad] 【新領域締切：4/6（水）12：00】【日本学術振興会】海外特別研究員および海外特別研究員-RRAの募集について,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e6%97%a5%e6%9c%ac%e5%ad%a6%e8%a1%93%e6%8c%af%e8%88%88%e4%bc%9a-%e7%89%b9%e5%88%a5%e7%a0%94%e7%a9%b6%e5%93%a1/15828/
科研費,2023.07.24,[f-all] 【科研費】令和6年度科学研究費助成事業の応募について（研究成果公開促進費）,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e7%a7%91%e7%a0%94%e8%b2%bb/18004/
科研費,2023.07.24,[f-all] 【科研費】令和6年度科学研究費助成事業の応募について（奨励研究）,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e7%a7%91%e7%a0%94%e8%b2%bb/18002/
科研費,2023.07.24,[f-all] 【科研費】令和6年度科学研究費助成事業の応募について（基盤研究（A・B・C）、挑戦的研究（開拓・萌芽）、若手研究）,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e7%a7%91%e7%a0%94%e8%b2%bb/18000/
科研費,2023.07.24,[f-all] 【科研費】令和6年度科学研究費助成事業の応募について（学術変革(A)（公募研究）、新学術（終了領域）,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e7%a7%91%e7%a0%94%e8%b2%bb/17994/
科研費,2023.07.24,[f-all] 【科研費】令和5年度科学研究費助成事業の応募について（国際共同研究加速基金（国際共同研究強化））,https://gsfs-portal.k.u-tokyo.ac.jp/kenkyu/news/%e7%a7%91%e7%a0%94%e8%b2%bb/17992/
契約からのお知らせ,2023.07.18,納品検収済の物品・役務・製造の調達に係る伝票の提出締切について,https://gsfs-portal.k.u-tokyo.ac.jp/keiyaku/news/keiyaku-notice/2936/
契約からのお知らせ,2022.12.07,令和４年度の高額契約手続きにおける年度内納品完了の為の手続き期限について,https://gsfs-portal.k.u-tokyo.ac.jp/keiyaku/news/keiyaku-notice/14633/
国際交流室からのお知らせ/ Information from the International Liaison Office (ILO),2023.06.27,日本語会話クラス（7月）/ Japanese Conversation Class (July),https://gsfs-portal.k.u-tokyo.ac.jp/ilo/news/ilo-notice/17547/
国際交流室からのお知らせ/ Information from the International Liaison Office (ILO),2023.06.05,Japanese Cultural Experience Tour /日本文化体験ツアー,https://gsfs-portal.k.u-tokyo.ac.jp/ilo/news/ilo-notice/17445/
国際交流室からのお知らせ/ Information from the International Liaison Office (ILO),2023.05.25,日本語会話クラス（6月）/ Japanese Conversation Class (June),https://gsfs-portal.k.u-tokyo.ac.jp/ilo/news/ilo-notice/17175/
国際交流室からのお知らせ/ Information from the International Liaison Office (ILO),2023.04.06,GSFS Japanese Language Course starts/ 日本語教室が始まります。,https://gsfs-portal.k.u-tokyo.ac.jp/ilo/news/ilo-notice/16513/
留学生向け奨学金情報/Scholarship Information for GSFS International Students from ILO,2023.07.27,Direct Application:  Takaku Foundation/ Deadline: November 30 (Thu) 2023// 直接応募: 高久国際財団/ 締切：2023年11月30日（木）,https://gsfs-portal.k.u-tokyo.ac.jp/ilo/news/scholarship/18021/
留学生向け奨学金情報/Scholarship Information for GSFS International Students from ILO,2023.07.19,Mitsubishi Gas Chemical Memorial Foundation / Deadline: August 7 (Mon) 2023 at 16:00//三菱ガス化学記念財団/ 締切：2023年8月7日（月）午後4時,https://gsfs-portal.k.u-tokyo.ac.jp/ilo/news/scholarship/17942/
国際交流室からのお知らせ/ Information from the International Liaison Office (ILO),2023.05.11,日本語会話クラス/ Japanese Conversation Class,https://gsfs-portal.k.u-tokyo.ac.jp/ilo/news/ilo-notice/16950/
留学生向け奨学金情報/Scholarship Information for GSFS International Students from ILO,2023.07.21,Assuran International Scholarship Foundation/ Deadline: July 26 (Wed) 2023 at 16:00//アシュラン国際奨学財団/ 締切：2023年7月26日（水）午後4時,https://gsfs-portal.k.u-tokyo.ac.jp/ilo/news/scholarship/17966/
留学生向け奨学金情報/Scholarship Information for GSFS International Students from ILO,2023.07.19,Direct Application:  CWAJ Scholarship Program/ Deadline: October 9 (Mon) 2023// 直接応募: CWAJ奨学金財団/ 締切：2023年10月9日（月）,https://gsfs-portal.k.u-tokyo.ac.jp/ilo/news/scholarship/17947/
留学生向け奨学金情報/Scholarship Information for GSFS International Students from ILO,2023.07.17,Application for Grant by The Uehara Memorial Foundation/上原記念生命科学財団2023年度「来日研究助成金」の募集について,https://gsfs-portal.k.u-tokyo.ac.jp/ilo/news/scholarship/18007/
